Value of N, Comparisons of O(n), Comparisons of O(M + log n), Comparisons of O(log n)
103400,31050,1076,0
103500,31194,1017,0
103600,31132,941,0
103700,31246,1010,0
103800,31321,1061,0
103900,31090,1088,0
104000,31103,1023,0
104100,31138,1069,0
104200,31239,1059,0
104300,31241,1057,0
104400,31416,1086,0
104500,31266,1076,0
104600,31241,1080,0
104700,31543,1129,0
104800,31338,1071,0
104900,31535,1062,0
105000,31181,1000,0
105100,31378,1052,0
105200,31573,1107,0
105300,31335,1074,0
105400,31612,1019,0
105500,31566,1052,0
105600,31716,1069,0
105700,31494,1089,0
105800,31539,1100,0
105900,31594,1055,0
106000,31891,1028,0
106100,31889,1096,0
106200,32182,1098,0
106300,32006,1090,0
106400,31780,1104,0
106500,31811,1081,0
106600,31879,1104,0
106700,32015,1077,0
106800,31993,1068,0
106900,32016,1040,0
107000,32241,1085,0
107100,32110,1075,0
107200,31860,1052,0
107300,32255,1083,0
107400,32010,1066,0
107500,32354,1108,0
107600,32102,1019,0
107700,32628,1142,0
107800,32156,1089,0
107900,32172,1068,0
108000,32323,1147,0
108100,32517,1119,0
108200,32297,1052,0
108300,32604,1062,0
108400,32576,1083,0
108500,32279,1100,0
108600,32665,1127,0
108700,32532,1106,0
108800,32657,1096,0
108900,32700,1044,0
109000,32683,1039,0
109100,32633,1063,0
109200,33061,1106,0
109300,32591,1108,0
109400,32610,1155,0
109500,32716,1095,0
109600,33011,1072,0
109700,32903,1096,0
109800,33119,1073,0
109900,32795,1103,0
110000,32835,1064,0
110100,32729,1069,0
110200,32949,1061,0
110300,33139,1078,0
110400,32888,1139,0
110500,33202,1117,0
110600,33270,1043,0
110700,32921,1171,0
110800,32991,1087,0
110900,33222,1079,0
111000,33143,1091,0
111100,33005,1100,0
111200,33300,1115,0
111300,33348,1146,0
111400,33414,1191,0
111500,33253,1171,0
111600,33700,1132,0
111700,33430,1061,0
111800,33340,1088,0
111900,33717,1121,0
112000,33651,1153,0
112100,33807,1131,0
112200,33656,1131,0
112300,33631,1105,0
112400,33851,1118,0
112500,33597,1109,0
112600,33574,1195,0
112700,34065,1132,0
112800,33859,1140,0
112900,34074,1143,0
113000,33934,1199,0
113100,33804,1140,0
113200,33633,1127,0
113300,34078,1174,0
113400,34117,1160,0
113500,34009,1115,0
113600,34011,1213,0
113700,34261,1181,0
113800,34230,1051,0
113900,33831,1162,0
114000,34034,1144,0
114100,34407,1211,0
114200,34084,1125,0
114300,34223,1132,0
114400,34163,1110,0
114500,34393,1180,0
114600,34306,1143,0
114700,34255,1169,0
114800,34375,1189,0
114900,34130,1125,0
115000,34744,1147,0
115100,34586,1116,0
115200,34418,1115,0
115300,34404,1149,0
115400,34683,1203,0
115500,34783,1144,0
115600,34430,1147,0
115700,34910,1172,0
115800,34768,1131,0
115900,34789,1128,0
116000,34628,1181,0
116100,34865,1092,0
116200,35115,1164,0
116300,34727,1200,0
116400,34866,1155,0
116500,34827,1233,0
116600,35241,1169,0
116700,35037,1133,0
116800,35065,1168,0
116900,35146,1179,0
117000,35212,1163,0
117100,35260,1210,0
117200,35049,1124,0
117300,34968,1178,0
117400,35338,1178,0
117500,35269,1175,0
117600,35122,1172,0
117700,35389,1209,0
117800,35018,1158,0
117900,35472,1207,0
118000,35502,1165,0
118100,35133,1222,0
118200,35486,1186,0
118300,35484,1174,0
118400,35448,1166,0
118500,35461,1151,0
118600,35673,1170,0
118700,35776,1239,0
118800,35656,1135,0
118900,35667,1202,0
119000,35593,1223,0
119100,35674,1148,0
119200,35976,1202,0
119300,35962,1217,0
119400,35928,1221,0
119500,35927,1201,0
119600,35791,1252,0
119700,36126,1199,0
119800,36128,1210,0
119900,35874,1179,0
120000,35879,1189,0
120100,36135,1233,0
120200,36086,1261,0
120300,36201,1181,0
120400,36142,1220,0
120500,36271,1203,0
120600,36074,1211,0
120700,36278,1117,0
120800,36221,1184,0
120900,36412,1182,0
121000,36402,1244,0
121100,36395,1181,0
121200,36397,1207,0
121300,36086,1256,0
121400,36372,1215,0
121500,36624,1224,0
121600,36521,1295,0
121700,36436,1199,0
121800,36601,1178,0
121900,36572,1233,0
122000,36525,1188,0
122100,36484,1251,0
122200,36907,1209,0
122300,36823,1230,0
122400,36543,1229,0
122500,36778,1231,0
122600,36911,1268,0
122700,36975,1261,0
122800,36862,1235,0
122900,36997,1267,0
123000,36832,1299,0
123100,36808,1188,0
123200,36823,1215,0
123300,37006,1222,0
123400,37029,1221,0
123500,36989,1291,0
123600,37217,1259,0
123700,37338,1267,0
123800,36825,1260,0
123900,37192,1243,0
124000,37512,1255,0
124100,37484,1288,0
124200,37605,1251,0
124300,37502,1322,0
124400,37235,1205,0
124500,37186,1248,0
124600,37326,1237,0
124700,37396,1232,0
124800,37466,1248,0
124900,37550,1269,0
125000,37316,1228,0
125100,37483,1279,0
125200,37550,1236,0
125300,37396,1261,0
125400,37499,1283,0
125500,37616,1145,0
125600,37966,1324,0
125700,37552,1138,0
125800,37777,1290,0
125900,37604,1249,0
126000,38030,1259,0
126100,37931,1302,0
126200,37771,1275,0
126300,37746,1258,0
126400,37756,1275,0
126500,38227,1353,0
126600,38141,1282,0
126700,37869,1238,0
126800,38007,1247,0
126900,37993,1239,0
127000,37996,1260,0
127100,38216,1304,0
127200,38224,1348,0
127300,38035,1318,0
127400,38180,1347,0
127500,38337,1333,0
127600,38224,1254,0
127700,38245,1336,0
127800,38482,1288,0
127900,38210,1309,0
128000,38897,1332,0
128100,38140,1217,0
128200,38376,1319,0
128300,38412,1283,0
128400,38409,1286,0
128500,38639,1268,0
128600,38718,1273,0
128700,38695,1327,0
128800,38578,1261,0
128900,38474,1266,0
129000,38630,1313,0
129100,38763,1317,0
129200,38810,1306,0
129300,38911,1321,0
129400,38836,1290,0
129500,38884,1269,0
