Value of N,Comparisons of O(n),Comparisons of O(M + log n),Comparisons of O(log n)
72900,43810,7310,0
73000,43833,7491,0
73100,43939,7444,0
73200,43998,7361,0
73300,44230,7434,0
73400,43864,7369,0
73500,43980,7372,0
73600,44259,7387,0
73700,44285,7380,0
73800,44337,7520,0
73900,44001,7424,0
74000,44446,7387,0
74100,44445,7414,0
74200,44639,7386,0
74300,44360,7320,0
74400,44511,7423,0
74500,44616,7507,0
74600,44821,7527,0
74700,44697,7448,0
74800,45128,7472,0
74900,45179,7579,0
75000,45024,7492,0
75100,45137,7471,0
75200,45184,7571,0
75300,45140,7505,0
75400,44953,7463,0
75500,45404,7659,0
75600,45474,7467,0
75700,45439,7613,0
75800,45585,7568,0
75900,45331,7452,0
76000,45540,7573,0
76100,45898,7555,0
76200,45699,7601,0
76300,45733,7643,0
76400,45850,7657,0
76500,45654,7664,0
76600,45632,7681,0
76700,46093,7742,0
76800,46170,7707,0
76900,46295,7616,0
77000,46147,7827,0
77100,46005,7792,0
77200,46467,7839,0
77300,46344,7673,0
77400,46560,7799,0
77500,46671,7676,0
77600,46571,7720,0
77700,46453,7718,0
77800,46817,7672,0
77900,46705,7866,0
78000,46772,7678,0
78100,46832,7827,0
78200,46955,7888,0
78300,46765,7828,0
78400,47241,7845,0
78500,46930,7830,0
78600,47227,7789,0
78700,47009,7876,0
78800,47059,7909,0
78900,47427,7894,0
79000,47082,7819,0
79100,47454,7843,0
79200,47378,7943,0
79300,47621,7950,0
79400,47631,8035,0
79500,47778,7976,0
79600,47793,7959,0
79700,47915,8052,0
79800,47961,8024,0
79900,47747,7936,0
80000,48128,8053,0
80100,47967,8036,0
80200,48062,7947,0
80300,48419,8128,0
80400,48422,8067,0
80500,48334,7992,0
80600,48714,8117,0
80700,48758,8019,0
80800,48486,8116,0
80900,48573,8101,0
81000,48649,8178,0
81100,48898,8241,0
81200,48783,8134,0
81300,48977,8171,0
81400,48688,8116,0
81500,48786,8277,0
81600,48813,8208,0
81700,48874,8133,0
81800,48934,8005,0
81900,49034,8178,0
82000,49269,8440,0
82100,49262,8337,0
82200,49334,8146,0
82300,49407,8252,0
82400,49506,8257,0
82500,49368,8157,0
82600,49478,8029,0
82700,49676,8324,0
82800,49793,8107,0
82900,49571,8252,0
83000,49900,8320,0
83100,50051,8437,0
83200,50015,8292,0
83300,50011,8384,0
83400,50231,8367,0
83500,49989,8271,0
83600,50212,8344,0
83700,50108,8379,0
83800,50268,8363,0
83900,50329,8359,0
84000,50549,8611,0
84100,50669,8485,0
84200,50719,8354,0
84300,50582,8551,0
84400,50576,8411,0
84500,50612,8433,0
84600,50947,8515,0
84700,50875,8409,0
84800,51030,8632,0
84900,50860,8533,0
85000,50764,8358,0
85100,51223,8559,0
85200,51005,8473,0
85300,51274,8443,0
85400,51160,8562,0
85500,51276,8621,0
85600,51387,8603,0
85700,51278,8429,0
85800,51225,8719,0
85900,51593,8612,0
86000,51574,8479,0
86100,51340,8676,0
86200,51535,8649,0
86300,51747,8666,0
86400,51952,8594,0
86500,51927,8679,0
86600,51936,8672,0
86700,51987,8690,0
86800,51981,8679,0
86900,52237,8675,0
87000,51991,8734,0
87100,52278,8664,0
87200,52403,8796,0
87300,52391,8709,0
